,score,popularity,genre
588,5.66,7895,"Drama, Sci-Fi, Space"
589,7.06,4989,"Drama, Magic"
591,6.54,9330,"Action, Drama, Shounen, Sports"
592,7.27,6317,"Comedy, Drama, Sci-Fi"
593,7.22,2231,"Action, Game, Fantasy, Shounen"
594,5.82,6332,"Fantasy, Mecha, Sci-Fi"
596,7.03,220,"Harem, Comedy, Romance, School, Shounen"
599,6.76,1906,"Action, Adventure, Comedy, Sci-Fi, Shounen, Sports"
600,5.08,10896,Comedy
601,5.04,4332,"Action, Historical, Martial Arts"
602,7.69,3096,"Action, Military, Sci-Fi, Adventure, Space, Drama"
603,7.55,2890,"Slice of Life, Comedy, Shounen"
604,6.89,2183,"Comedy, Drama, Romance, School, Slice of Life"
607,6.37,7574,Comedy
609,7.02,1511,"Romance, School, Shoujo Ai"
610,7.23,4791,"Adventure, Drama, Historical, Sci-Fi, Supernatural"
611,7.61,9807,"Slice of Life, Comedy, Police, Shounen"
612,7.42,214,"Action, Adventure, Comedy, Kids, Fantasy"
613,7.52,1915,"Slice of Life, Comedy, Parody"
614,7.76,129,"Comedy, Romance, School, Super Power"
617,7.29,1316,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space"
618,7.55,1053,"Comedy, Parody, Sci-Fi, Shounen"
619,7.41,4405,"Comedy, Parody, Sports"
622,7.63,1856,"Samurai, Historical, Drama, Shounen"
623,6.33,1389,"Adventure, Fantasy"
624,6.82,3205,"Slice of Life, School"
625,7.03,7209,"Adventure, Slice of Life, Historical, Drama, Fantasy"
627,7.04,3659,Romance
628,3.81,12005,Dementia
632,7.01,3324,"Slice of Life, Comedy, School"
634,7.85,2998,"Sci-Fi, Mystery, Police, Drama, Mecha"
635,7.64,1854,"Action, Comedy, Sports, Shounen"
637,7.17,2037,"Drama, Mystery"
639,9.15,383,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen"
641,7.61,5475,"Adventure, Sci-Fi"
643,7.65,2399,"Action, Drama, Military, Sci-Fi, Space"
644,6.93,6267,"Adventure, Fantasy, Drama, Sci-Fi"
645,7.19,3711,"Action, Harem, Historical, Supernatural, Drama, Samurai, Vampire, Josei"
646,7.44,4112,"Action, Adventure, Supernatural, Shounen"
650,7.86,1992,"Action, Drama, Mecha, Military, Sci-Fi, Space"
652,7.59,2225,"Slice of Life, Fantasy, Seinen"
653,7.16,8015,"Adventure, Comedy, Sci-Fi, Shounen"
654,6.85,5131,"Slice of Life, Comedy"
655,6.0,4595,"Action, Adventure, Comedy, Fantasy, Kids, Parody, Sports"
657,6.64,3738,"Adventure, Comedy, Fantasy, Kids"
658,6.71,4992,"Action, Adventure, Mecha"
659,7.05,6271,"Comedy, Super Power"
660,7.18,4537,Hentai
662,6.61,871,"Comedy, Ecchi, Fantasy, Harem, Romance, School"
663,5.75,12347,"Comedy, Kids"
664,7.62,1888,"Action, Sci-Fi, Horror, Psychological, Supernatural, Drama, Ecchi, Seinen"
665,6.47,11199,Kids
666,6.65,3396,"Slice of Life, Ecchi"
667,8.03,877,"Action, Adventure, Comedy, Drama, Historical, Military, Romance"
668,9.1,990,"Drama, Game, Seinen, Slice of Life"
669,6.97,917,"Action, Comedy, Parody, Super Power"
670,7.24,908,"Action, Adventure, Comedy, Drama, Fantasy, Shounen"
672,6.34,10986,"Adventure, Comedy"
673,6.68,1743,"Action, Adventure, Comedy, Super Power, Martial Arts, Fantasy, Shounen"
675,8.13,512,"Action, Adventure, Fantasy, Magic, Shounen"
676,7.14,1573,"Comedy, Drama, Romance, School"
677,7.22,1536,"Action, Sci-Fi, Horror, Supernatural, Vampire"
678,8.46,664,"Mystery, Historical, Horror, Demons, Psychological, Supernatural, Fantasy, Seinen"
679,6.48,3459,"Slice of Life, Comedy"
680,7.76,1959,"Adventure, Fantasy, Magic, Comedy, Romance, Drama, Shoujo"
681,7.68,690,"Comedy, School, Seinen"
682,6.28,5961,"Drama, Romance, Shoujo, Shounen Ai"
685,6.43,4750,"Adventure, Comedy, Kids"
687,6.97,1525,"Action, Comedy, Fantasy"
688,6.27,11518,"Comedy, Kids, Slice of Life"
690,6.67,7603,"Comedy, Fantasy, Magic, Shoujo"
691,4.83,6585,"Game, Space, Comedy"
692,7.6,1105,"Action, Historical, Shoujo, Supernatural"
694,6.05,8842,Sci-Fi
696,6.32,10125,"Action, Cars, Sports, Shounen"
698,8.19,28,"Action, Comedy, Super Power, Ecchi, School"
700,7.05,3568,"Action, Sci-Fi, Music, Drama, Mecha"
701,7.78,3290,"Slice of Life, Comedy"
702,7.96,1852,"Adventure, Mystery, Comedy, Police, Shounen"
703,6.23,1184,"Ecchi, Romance, Seinen"
704,7.64,505,"Action, Adventure, Fantasy, Magic, Romance, Supernatural, Shounen"
706,8.65,765,"Slice of Life, Adventure"
707,6.74,9688,"Adventure, Drama, Historical, Slice of Life"
708,4.83,9142,"Drama, Martial Arts, Fantasy, Shoujo"
709,5.83,11754,Kids
711,8.44,295,"Action, Sci-Fi, Mecha"
